Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,331039330,3097084,,133972,,1354863,,1608249,15371,9356,405,38801591,117211,Americas
Brazil,South America,212587032,1674655,,66868,,1117922,45693,489865,8318,7878,315,4359978,20509,Americas
India,Asia,1380233788,744006,525,20653,,457058,,266295,8944,539,15,10473771,7588,South-EastAsia
Russia,Europe,145935812,694230,,10494,,463880,,219856,2300,4757,72,21537771,147584,Europe
Peru,South America,32978661,309278,,10952,,200938,,97388,1265,9378,332,1821328,55227,Americas
Chile,South America,19119079,301019,,6434,,268245,,26340,2060,15744,337,1210326,63305,Americas
Spain,Europe,46755169,299210,,28392,,,,,617,6400,607,5734599,122652,Europe
UK,Europe,67892858,286349,,44391,,,,,209,4218,654,10777399,158741,Europe
Mexico,North America,128955195,268008,6258,32014,895,163646,3989,72348,378,2078,248,668537,5184,Americas
Iran,Asia,84009505,245688,,11931,,207000,,26757,3270,2925,142,1846793,21983,EasternMediterranean
Italy,Europe,60459826,241956,,34899,,192815,,14242,70,4002,577,5703673,94338,Europe
Pakistan,Asia,220943702,237489,2980,4922,83,140965,6008,91602,2236,1075,22,1467104,6640,EasternMediterranean
Saudi Arabia,Asia,34821448,217108,,2017,,154839,,60252,2268,6235,58,2018657,57972,EasternMediterranean
South Africa,Africa,59320279,215855,,3502,,102299,,110054,539,3639,59,1907532,32156,Africa
Turkey,Asia,84353985,207897,,5260,,185292,,17345,1152,2465,62,3733218,44257,Europe
Germany,Europe,83789358,198355,,9103,,182700,,6552,298,2367,109,5873563,70099,Europe
France,Europe,65276501,168810,,29933,,77655,,61222,538,2586,459,1384633,21212,Europe
Bangladesh,Asia,164717016,168645,,2151,,78102,,88392,1,1024,13,876480,5321,South-EastAsia
Colombia,South America,50891834,124494,,4359,,51861,,68274,875,2446,86,902305,17730,Americas
Canada,North America,37747927,106167,,8711,,69883,,27573,2150,2813,231,3020172,80009,Americas
Qatar,Asia,2807805,100945,,134,,94903,,5908,154,35952,48,390997,139254,EasternMediterranean
Argentina,South America,45202923,83426,,1644,,30095,,51687,688,1846,36,414697,9174,Americas
Egypt,Africa,102358079,77279,,3489,,21718,,52072,41,755,34,135000,1319,EasternMediterranean
Sweden,Europe,10100443,73344,,5447,,,,,103,7261,539,520208,51503,Europe
Indonesia,Asia,273571432,66226,,3309,,30785,,32132,,242,12,946054,3458,South-EastAsia
Iraq,Asia,40231863,64701,,2685,,36252,,25764,396,1608,67,624420,15521,EasternMediterranean
Belarus,Europe,9449255,64003,,436,,51902,,11665,89,6773,46,1074240,113685,Europe
Ecuador,South America,17646852,63245,,4873,,29071,,29301,288,3584,276,168272,9536,Americas
Belgium,Europe,11590614,62058,,9774,,17122,,35162,27,5354,843,1313064,113287,Europe
UAE,Asia,9892286,52600,,326,,41714,,10560,1,5317,33,3544000,358259,EasternMediterranean
Kuwait,Asia,4271479,51245,,377,,41515,,9353,159,11997,88,413530,96812,EasternMediterranean
Kazakhstan,Asia,18780262,51059,1376,264,,28402,745,22393,221,2719,14,1630669,86829,Europe
Netherlands,Europe,17135657,50694,,6132,,,,,18,2958,358,616376,35970,Europe
Ukraine,Europe,43727281,50414,807,1306,23,23119,926,25989,91,1153,30,745313,17045,Europe
Oman,Asia,5107767,48997,,224,,31000,,17773,127,9593,44,217194,42522,EasternMediterranean
Philippines,Asia,109603158,47873,,1309,,12386,,34178,166,437,12,845218,7712,WesternPacific
Singapore,Asia,5851166,45140,,26,,41002,,4112,1,7715,4,757746,129503,WesternPacific
Portugal,Europe,10196020,44416,,1629,,29445,,13342,76,4356,160,1271425,124698,Europe
Bolivia,South America,11675405,41545,1036,1530,54,12398,469,27617,71,3558,131,90651,7764,Americas
Panama,North America,4315710,40291,,799,,18726,,20766,160,9336,185,150542,34882,Americas
Dominican Republic,North America,10849739,38430,,821,,19564,,18045,208,3542,76,169999,15668,Americas
